"","fragments","tree_species","n"
"1","Chawia","Macaranga_conglomerata",90.5033333333333
"2","Fururu","Oxyanthus_speciosis",83.75
"3","Fururu","Macaranga_conglomerata",76.5433333333333
"4","Fururu","Xymalos_monospora",75.8466666666667
"5","Fururu","Leptonychia_usambarensis",75
"6","Ngangao","Leptonychia_usambarensis",68.6253333333333
"7","Chawia","Leptonychia_usambarensis",64.95
"8","Chawia","Oxyanthus_speciosis",62.78
"9","Ngangao","Phoenix_reclinata",62.7766666666667
"10","Ngangao","Oxyanthus_speciosis",61.2356666666667
"11","Ngangao","Macaranga_conglomerata",59.8066666666667
"12","Fururu","Syzigium_guineense",58.61
"13","Ngangao","Syzigium_guineense",56.9466666666667
"14","Chawia","Tabernaemontana_stapfiana",55.2443333333333
"15","Chawia","Syzigium_guineense",54.72
"16","Ngangao","Tabernaemontana_stapfiana",52.0333333333333
"17","Fururu","Tabernaemontana_stapfiana",51.94
"18","Fururu","Phoenix_reclinata",49.1633333333333
"19","Fururu","Pleiocarpa_pycnantha",48.8866666666667
"20","Ngangao","Pleiocarpa_pycnantha",48.8866666666667
"21","Chawia","Xymalos_monospora",48.0166666666667
"22","Chawia","Pleiocarpa_pycnantha",47.22
"23","Chawia","Phoenix_reclinata",46.2386666666667
"24","Ngangao","Xymalos_monospora",43.33
